"site_name","location","season","common_name","total_eaten"
Storage Site,POINT (-83.0306 40.00041),Fall 2021,Northern Cardinal,4
Walcutt Run,POINT (-83.1397 40.00724),Fall 2021,House Sparrow,1
Walcutt Run,POINT (-83.1397 40.00724),Fall 2021,Northern Cardinal,1
Cherrybottom Park,POINT (-82.8998 40.06718),Spring 2021,Carolina Chickadee,1
Cherrybottom Park,POINT (-82.8998 40.06718),Spring 2021,House Finch,1
Gahanna South,POINT (-82.86 40.01),Spring 2021,American Robin,3
Gahanna South,POINT (-82.86 40.01),Spring 2021,Gray Catbird,1
Gahanna West,POINT (-82.895 40.03),Spring 2021,American Robin,2
Gahanna West,POINT (-82.895 40.03),Spring 2021,Northern Cardinal,1
Glen Echo,POINT (-82.9994 40.01931),Spring 2021,House Sparrow,1
Grove City North,POINT (-83.07 39.895),Spring 2021,American Robin,1
Hamilton,POINT (-82.975 39.855),Spring 2021,House Sparrow,1
Hilliard Northeast,POINT (-83.145 40.055),Spring 2021,American Robin,1
Hilliard Southwest,POINT (-83.165 40.01),Spring 2021,Common Grackle,1
Jefferson North,POINT (-82.795 40.045),Spring 2021,American Robin,2
Madison,POINT (-82.87 39.9),Spring 2021,American Robin,1
Madison,POINT (-82.87 39.9),Spring 2021,House Sparrow,1
New Albany North,POINT (-82.805 40.095),Spring 2021,American Robin,1
New Albany South,POINT (-82.825 40.06),Spring 2021,American Robin,1
Perry Sharon North,POINT (-83.04 39.975),Spring 2021,Blue Jay,1
Prairie North,POINT (-83.13 39.96),Spring 2021,American Robin,1
Prairie North,POINT (-83.13 39.96),Spring 2021,Mourning Dove,1
Reynoldsburg Northwest,POINT (-82.81 39.97),Spring 2021,American Robin,1
Reynoldsburg Northwest,POINT (-82.81 39.97),Spring 2021,House Wren,1
Reynoldsburg Northwest,POINT (-82.81 39.97),Spring 2021,Northern Cardinal,1
Whitehall East,POINT (-82.86 39.965),Spring 2021,American Robin,1
Whitehall East,POINT (-82.86 39.965),Spring 2021,Common Grackle,1
Woodward Nature Preserve,POINT (-82.9837 40.07339),Spring 2021,European Starling,1
Alum Creek 2,POINT (-82.938 40.01451),Spring 2022,Northern Cardinal,3
Glen Echo,POINT (-82.9994 40.01931),Spring 2022,American Robin,1
Glen Echo,POINT (-82.9994 40.01931),Spring 2022,Northern Cardinal,5
OSU Sewer,POINT (-83.0466 39.89),Spring 2022,American Robin,1
Overbrook,POINT (-83.0165 40.0463),Spring 2022,House Sparrow,1
Smith Park,POINT (-83.0466 40.02416),Spring 2022,Northern Cardinal,3
Walcutt Run,POINT (-83.1397 40.00724),Spring 2022,American Robin,1
Walcutt Run,POINT (-83.1397 40.00724),Spring 2022,Blue Jay,1
Walcutt Run,POINT (-83.1397 40.00724),Spring 2022,Brown-headed Cowbird,1
Walcutt Run,POINT (-83.1397 40.00724),Spring 2022,European Starling,1
Walcutt Run,POINT (-83.1397 40.00724),Spring 2022,Northern Cardinal,1
Woodward Nature Preserve,POINT (-82.9837 40.07339),Spring 2022,American Robin,3
Woodward Nature Preserve,POINT (-82.9837 40.07339),Spring 2022,Gray Catbird,1
Woodward Nature Preserve,POINT (-82.9837 40.07339),Spring 2022,Northern Cardinal,2
Bexley North,POINT (-82.935 39.97),Summer 2021,American Robin,1
Bexley South,POINT (-82.935 39.955),Summer 2021,House Sparrow,1
Clinton West,POINT (-83.03 39.995),Summer 2021,House Finch,1
Clinton West,POINT (-83.03 39.995),Summer 2021,Northern Cardinal,2
Dublin Central,POINT (-83.13 40.11),Summer 2021,American Robin,1
Dublin Central,POINT (-83.13 40.11),Summer 2021,House Sparrow,1
Dublin Northwest,POINT (-83.16 40.12),Summer 2021,Northern Cardinal,1
Dublin South,POINT (-83.165 40.085),Summer 2021,American Robin,1
Franklin North,POINT (-83.095 39.97),Summer 2021,European Starling,1
Gahanna Central,POINT (-82.87 40.035),Summer 2021,House Sparrow,1
Gahanna East,POINT (-82.855 40.045),Summer 2021,Northern Cardinal,2
Gahanna South,POINT (-82.86 40.01),Summer 2021,American Robin,7
Gahanna South,POINT (-82.86 40.01),Summer 2021,House Finch,1
Gahanna South,POINT (-82.86 40.01),Summer 2021,House Sparrow,1
Gahanna South,POINT (-82.86 40.01),Summer 2021,House Wren,1
Gahanna South,POINT (-82.86 40.01),Summer 2021,Mourning Dove,1
Gahanna South,POINT (-82.86 40.01),Summer 2021,Northern Cardinal,2
Gahanna West,POINT (-82.895 40.03),Summer 2021,Mourning Dove,1
Gahanna West,POINT (-82.895 40.03),Summer 2021,Northern Cardinal,2
Glen Echo,POINT (-82.9994 40.01931),Summer 2021,American Robin,1
Glen Echo,POINT (-82.9994 40.01931),Summer 2021,House Sparrow,1
Glen Echo,POINT (-82.9994 40.01931),Summer 2021,Northern Cardinal,1
Grandview Heights,POINT (-83.035 39.975),Summer 2021,American Robin,1
Grove City Central (2500-540),POINT (-83.06 39.87),Summer 2021,House Finch,1
Grove City Central (2500-540),POINT (-83.06 39.87),Summer 2021,House Sparrow,1
Grove City North,POINT (-83.07 39.895),Summer 2021,American Robin,2
Grove City South,POINT (-83.065 39.85),Summer 2021,House Finch,1
Grove City West,POINT (-83.11 39.89),Summer 2021,American Robin,1
Grove City West,POINT (-83.11 39.89),Summer 2021,Northern Cardinal,2
Hilliard Southwest,POINT (-83.165 40.01),Summer 2021,American Robin,1
Jefferson North,POINT (-82.795 40.045),Summer 2021,Cedar Waxwing,1
Jefferson South,POINT (-82.805 40.01),Summer 2021,Northern Cardinal,1
Overbrook,POINT (-83.0165 40.0463),Summer 2021,Northern Cardinal,2
Perry South,POINT (-83.06 40.1),Summer 2021,Northern Cardinal,1
Pickerington North,POINT (-82.77 39.895),Summer 2021,American Robin,1
Pickerington North,POINT (-82.77 39.895),Summer 2021,House Finch,1
Pickerington South,POINT (-82.765 39.875),Summer 2021,Cedar Waxwing,1
Pickerington South,POINT (-82.765 39.875),Summer 2021,House Sparrow,1
Pickerington South,POINT (-82.765 39.875),Summer 2021,Northern Cardinal,1
Prairie West,POINT (-83.23 39.955),Summer 2021,House Sparrow,1
Reynoldsburg Northeast,POINT (-82.775 39.965),Summer 2021,House Sparrow,1
Reynoldsburg Northeast,POINT (-82.775 39.965),Summer 2021,Mourning Dove,2
Reynoldsburg Northeast,POINT (-82.775 39.965),Summer 2021,Song Sparrow,1
Reynoldsburg Southwest,POINT (-82.82 39.94),Summer 2021,Northern Cardinal,1
Storage Site,POINT (-83.0306 40.00041),Summer 2021,Gray Catbird,2
Storage Site,POINT (-83.0306 40.00041),Summer 2021,House Sparrow,1
Upper Arlington Central,POINT (-83.07 40.03),Summer 2021,House Sparrow,1
Upper Arlington South,POINT (-83.065 40.01),Summer 2021,American Robin,1
Walcutt Run,POINT (-83.1397 40.00724),Summer 2021,House Finch,1
Walcutt Run,POINT (-83.1397 40.00724),Summer 2021,House Sparrow,1
Westerville Central (2500-130),POINT (-82.91 40.12),Summer 2021,American Robin,1
Whitehall East,POINT (-82.86 39.965),Summer 2021,House Sparrow,1
Whitehall West,POINT (-82.895 39.96),Summer 2021,American Robin,1
Whitehall West,POINT (-82.895 39.96),Summer 2021,House Sparrow,1
Whitehall West,POINT (-82.895 39.96),Summer 2021,Northern Cardinal,1
Woodward Nature Preserve,POINT (-82.9837 40.07339),Summer 2021,Brown-headed Cowbird,1
Woodward Nature Preserve,POINT (-82.9837 40.07339),Summer 2021,House Sparrow,1
